"","value"
"525",19.38
"526",23.24
"527",15.54
"528",22.48
"529",14.24
"530",40.54
"531",20.28
"532",34.45
"533",40.15
"534",37
"535",24.02
"536",35.42
"537",20.22
"538",22.94
"539",8.19
"540",32.71
"541",28.13
"542",25.33
"543",19.21
"544",32.88
"545",22.08
"546",37.62
"547",40.46
"548",28.03
"549",33.55
"550",25.51
"551",19.63
"552",22.1
"553",33.38
"554",25.83
"555",12.35
"556",19.42
"557",47.34
"558",39.27
"559",24.46
"560",48.52
"561",46.97
"562",47.62
"563",62.26
"564",45.09
"565",48.42
"566",52.93
"567",45.18
"568",53.9
"569",25.21
"570",25.5
"571",21.64
"572",41.53
"573",27.85
"574",37.05
"575",40.68
"576",47.81
"577",31.66
"578",43.85
"579",28.23
"580",60.37
"581",47.05
"582",55.42
"583",73.82
"584",27.45
"585",40.67
"586",41.12
"587",67.55
"588",28.41
"589",34.17
"590",46.99
"591",66.08
"592",69.82
"593",45.65
"594",44.59
"595",36.9
"596",38.89
"597",56.41
"598",57.27
"599",36.43
"600",24.02
"601",26.01
"602",53.99
"603",18.64
"604",47.55
"605",66.91
"606",61.67
"607",48.96
"608",30.11
"609",41.96
"610",50.7
"611",53.89
"612",24.93
"613",28.57
"614",35.13
"615",44.78
"616",54.68
"617",59.11
"618",44.95
"619",59.99
"620",51.55
"621",51.8
"622",35.38
"623",50.23
"624",51.29
"625",28.94
"626",56.06
"627",53.68
"628",40.15
"629",42.41
"630",59.76
"631",47.73
"632",51.52
"633",52.62
"634",46.09
"635",70.99
"636",41.72
"637",61.37
"638",53.86
"639",35.66
"640",15.64
"641",29.31
"642",32.23
"643",33.54
"644",53.15
"645",34.27
"646",52.86
"647",55.94
"648",50.3
"649",44.05
"650",52.12
"651",17.27
"652",16.5
"653",53.08
"654",15.33
"655",31.47
"656",31.33
"657",34.85
"658",42.52
"659",25.47
"660",56.6
"661",53.69
"662",35.35
"663",38.53
"664",44.89
"665",59.92
"666",48.15
"667",30.94
"668",35.32
"669",47.46
"670",36.94
"671",55.69
"672",19.59
"673",47.44
"674",44.71
"675",64.54
"676",23.52
"677",52.92
"678",39.07
"679",26.48
"680",58.06
"681",41.99
"682",44.18
"683",55.86
"684",19.84
"685",19.53
"686",36.51
"687",25.7
"688",31.95
"689",24.94
"690",33.95
"691",21.3
"692",35.66
"693",36.92
"694",46.11
"695",34.81
"696",52.74
"697",37.5
"698",27.19
"699",60.52
"700",53.97
"701",53.65
"702",31.27
"703",61.28
"704",54.85
"705",24.1
"706",49.1
"707",64.07
"708",38.21
"709",56.64
"710",29.27
"711",60.17
"712",52.55
"713",34.27
"714",41.13
"715",28.18
"716",29.69
"717",41.31
"718",46.65
"719",69.16
"720",44.54
"721",61.26
"722",71.04
"723",76.59
"724",74.4
"725",71.78
"726",66.57
"727",68.19
"728",65.8
"729",56.79
"730",71.75
"731",59.26
"732",54.41
"733",55.92
"734",68.86
"735",70.86
"736",68.02
"737",61.66
"738",74.31
"739",57.66
"740",54.03
"741",59.82
"742",72.2
"743",61.77
"744",77.45
"745",79.66
"746",68.58
"747",57.2
"748",65.07
"749",55.87
"750",67.67
"751",73.98
"752",66.53
"753",72.55
"754",60.37
"755",57.57
"756",54.4
"757",69.6
"758",53.37
"759",59.49
"760",68.08
"761",78.02
"762",61.9
"763",73.22
"764",79.16
"765",68.93
"766",77.56
"767",72.33
"768",82.42
"769",79.11
"770",83.98
"771",75.06
"772",62.59
"773",76.74
"774",58.95
"775",77.57
"776",57.42
"777",55.18
"778",66.28
"779",67.02
"780",69.23
"781",73.73
"782",70.79
"783",68.75
"784",81.12
"785",65.28
"786",58.09
"787",74.53
"788",66.1
"789",68.44
"790",75.11
"791",64.47
"792",74
"793",76.29
"794",68.71
"795",64.59
"796",83.39
"797",80.68
"798",85.69
"799",98.42
"800",94.75
"801",76.2
"802",83.31
"803",87.35
"804",95.45
"805",86.24
"806",79.21
"807",93.37
"808",85.56
"809",83.3
"810",98.85
"811",98.99
"812",85.93
"813",89.95
"814",80.82
"815",97.27
"816",75.22
"817",81.61
"818",86.69
"819",97.77
"820",74.19
"821",88.51
"822",83.71
"823",97.16
"824",90.56
"825",94.77
"826",90.56
"827",87.58
"828",93.84
"829",92.73
"830",89.03
"831",91.95
"832",79.46
"833",84.21
"834",94.2
"835",92.86
"836",72.52
"837",85.21
"838",75.23
"839",85.66
"840",91.59
"841",88.96
"842",84.8
"843",81.32
"844",78.36
"845",71.4
"846",90.39
"847",79.55
"848",90.24
"849",100.77
"850",98.42
"851",91.57
"852",81.93
"853",82.03
"854",77.08
"855",35.65
"856",50.84
"857",46.24
"858",34.49
"859",32.58
"860",45.54
"861",38.74
"862",49.63
"863",42.37
"864",48.86
"865",38.97
"866",51.88
"867",32.64
"868",42.81
"869",44.18
"870",34.95
"871",31
"872",37.24
"873",51.52
"874",45.62
"875",48.97
"876",28.28
"877",35.66
"878",41.53
"879",49.93
"880",46.75
"881",44.12
"882",38.05
"883",50.28
"884",50.32
"885",51.14
"886",51.47
"887",48.38
"888",47.93
"889",49.3
"890",35.93
"891",48.37
"892",36.94
"893",46.49
"894",49.4
"895",38.71
"896",45.91
"897",45.53
"898",40.1
"899",34.24
"900",36.21
"901",39.8
"902",40.77
"903",48.84
"904",42.89
"905",43.14
"906",51.87
"907",38.86
"908",48.45
"909",39.88
"910",43.35
"911",31.19
"912",42.05
"913",30.8
"914",38.81
"915",48.68
"916",40.61
"917",26.69
"918",46.44
"919",34.81
"920",38.12
"921",30.26
"922",39.7
"923",44.17
"924",37.99
"925",42.13
"926",50.02
"927",48.8
"928",34.33
"929",43.84
"930",25.58
"931",47.89
"932",48.95
"933",44.8
"934",41.84
"935",44.15
"936",46.16
"937",41.48
"938",38.3
"939",35.64
"940",41.84
"941",34.76
"942",44.78
"943",49.45
"944",29.51
"945",37.62
"946",27.27
"947",49.21
"948",42.12
"949",40.92
"950",44.33
"951",23.96
"952",38.29
"953",43.2
"954",49.94
"955",30.91
"956",27.16
"957",24.96
"958",27.25
"959",40.77
"960",30.39
"961",39.95
"962",42.6
"963",29.51
"964",47.08
"965",33.5
"966",19.84
"967",54.08
"968",14.76
"969",46.25
"970",35.85
"971",19.89
"972",40.76
"973",18.32
"974",33.77
"975",33.31
"976",51.94
"977",30.18
"978",35.25
"979",35.86
"980",40.59
"981",30
"982",30.96
"983",53.3
"984",35.16
"985",53.41
"986",29.95
"987",36.97
"988",43.26
"989",42.76
"990",38.42
"991",41.3
"992",31.43
"993",32.27
"994",34.47
"995",39.19
"996",50.22
"997",41.84
"998",29.55
"999",41.09
"1000",31.68
"1001",32.41
"1002",32.37
"1003",32.43
"1004",41.4
"1005",26.62
"1006",19.48
"1007",41.02
"1008",21.85
"1009",16.42
"1010",48.64
"1011",44.29
"1012",42.78
"1013",35.36
"1014",48.43
"1015",27.91
"1016",47.26
"1017",36.48
"1018",36.47
"1019",42.14
"1020",38.84
"1021",19.63
"1022",32.79
"1023",38.09
"1024",51.19
"1025",46.97
"1026",30.58
"1027",34.18
"1028",46.8
"1029",43.16
"1030",51.85
"1031",48.71
"1032",51.61
"1033",51.7
"1034",50.29
"1035",41.06
"1036",52.37
"1037",13.7
"1038",50.72
"1039",43.13
"1040",39.19
"1041",43.27
"1042",49.56
"1043",39.18
"1044",24.06
"1045",51.83
"1046",36.98
"1047",33.41
"1048",29
"1049",36.38
"1050",46.94
"1051",44.88
"1052",25.35
"1053",50.56
"1054",51.92
"1055",20.47
"1056",40.62
"1057",49.31
"1058",52.8
"1059",51.9
"1060",37.59
"1061",23.7
"1062",32.62
"1063",16.08
"1064",29.83
"1065",46.18
"1066",39.26
"1067",24.89
"1068",20.05
"1069",27.1
"1070",37.46
"1071",40.06
"1072",19.89
"1073",39.76
"1074",30.03
"1075",36.09
"1076",30.06
"1077",28.43
"1078",17.94
"1079",35.75
"1080",32.92
"1081",22.48
"1082",20.68
"1083",40.28
"1084",30.26
"1085",42.83
"1086",23.71
"1087",39.71
"1088",33.43
"1089",26.98
"1090",19.39
"1091",38.69
"1092",45.53
"1093",15.3
"1094",31.83
"1095",26.91
"1096",26.46
"1097",23.35
"1098",24.16
"1099",29.09
"1100",32.57
"1101",27.13
"1102",26.39
"1103",42.83
"1104",33.4
"1105",36.09
"1106",33.51
"1107",28.38
"1108",27.26
"1109",22.37
"1110",26.27
"1111",33.59
"1112",41.77
"1113",36.64
"1114",37.68
"1115",28.45
"1116",22.96
"1117",20.19
"1118",155.14
"1119",164.25
"1120",171.5
"1121",150.41
"1122",156.23
"1123",159.39
"1124",159.49
"1125",153.1
"1126",163.35
"1127",128.3
"1128",153.28
"1129",152.89
"1130",132.4
"1131",129.24
"1132",149.56
"1133",159.3
"1134",160.11
"1135",150
"1136",155.71
"1137",142.77
"1138",145.01
"1139",127.34
"1140",162.43
"1141",160.34
"1142",154.83
"1143",157.02
"1144",166.89
"1145",153.44
"1146",143.16
"1147",147.04
"1148",118.26
"1149",128.86
"1150",164.21
"1151",160.52
"1152",154.22
"1153",138.48
"1154",151.81
"1155",143.21
"1156",141.16
"1157",160.85
"1158",140.73
"1159",164.39
"1160",133.43
"1161",147.29
"1162",215.57
"1163",204.51
"1164",210.68
"1165",204.84
"1166",228.09
"1167",217.32
"1168",223.47
"1169",213.4
"1170",222.67
"1171",209.57
"1172",226.26
"1173",210.83
"1174",221.16
"1175",212.01
"1176",219.9
"1177",232.15
"1178",222.43
"1179",216.07
"1180",212.44
"1181",215.23
"1182",214.9
"1183",213.07
"1184",224.78
"1185",215.72
"1186",219.51
"1187",238.98
"1188",214.16
"1189",212.59
"1190",211.65
"1191",203.16
"1192",194.32
"1193",223.27
"1194",195.39
"1195",184.59
"1196",170.25
"1197",179.86
"1198",174.69
"1199",168.09
"1200",216.91
"1201",200.36
"1202",172.53
"1203",187.85
"1204",166.26
"1205",186.86
"1206",185.32
"1207",198.46
"1208",191.04
"1209",178.11
"1210",183.1
"1211",195.35
"1212",174.55
"1213",182.49
"1214",177.74
"1215",180.5
"1216",195.83
"1217",199.77
"1218",172.75
"1219",160.57
"1220",180.05
"1221",179.95
"1222",185.35
"1223",176.65
"1224",194.42
"1225",200.03
"1226",180.8
"1227",178.56
"1228",195.74
"1229",179.75
"1230",187.47
"1231",187.27
"1232",179.29
"1233",230.01
"1234",203.21
"1235",195.7
"1236",205.38
"1237",181.12
"1238",200.03
"1239",185.96
"1240",198.43
"1241",200.52
"1242",191.62
"1243",221.5
"1244",182.96
"1245",212.97
"1246",222.21
"1247",184.53
"1248",185.25
"1249",202.04
"1250",182.49
"1251",204.01
"1252",204.2
"1253",199.72
"1254",191.93
"1255",226.68
"1256",224.72
"1257",182.65
"1258",202.68
"1259",230.26
"1260",138.83
"1261",135.32
"1262",141.62
"1263",145.73
"1264",155.12
"1265",135.25
"1266",150.6
"1267",145.43
"1268",186.04
"1269",153.56
"1270",182.43
"1271",153.84
"1272",170.63
"1273",165.36
"1274",189.43
"1275",175.8
"1276",176.19
"1277",182.72
"1278",157.59
"1279",173.96
"1280",176.58
"1281",177.19
"1282",178.72
"1283",162.8
"1284",187.83
"1285",156.71
"1286",181.88
"1287",186.03
"1288",181.27
"1289",182.07
"1290",177.12
"1291",181.85
"1292",189.26
"1293",182.04
"1294",184.53
"1295",161.36
"1296",184.34
"1297",168.07
"1298",189.63
"1299",182.81
"1300",170.55
"1301",182.21
"1302",191.59
"1303",178.01
"1304",169.7
"1305",118.06
"1306",134.63
"1307",117.09
"1308",103.94
"1309",118.03
"1310",135.61
"1311",128.68
"1312",108.23
"1313",126.69
"1314",108.75
"1315",119.7
"1316",107.11
"1317",134.23
"1318",131.24
"1319",122.81
"1320",121.83
"1321",147.72
"1322",130.1
"1323",98.16
"1324",140.59
"1325",124.48
"1326",55.47
"1327",60.25
"1328",78.75
"1329",70.32
"1330",63.73
"1331",76.98
"1332",39.82
"1333",74.29
"1334",102.19
"1335",54.44
"1336",75.2
"1337",82.46
"1338",72.75
"1339",60.72
"1340",57.2
"1341",56
"1342",65.89
"1343",72.6
"1344",82.9
"1345",99.13
"1346",76.11
"1347",95.9
"1348",101.64
"1349",68.01
"1350",99.63
"1351",48.81
"1352",66.6
"1353",50.5
"1354",102.49
"1355",81.18
"1356",53.48
"1357",58.44
"1358",42.85
"1359",70.84
"1360",68.25
"1361",104.07
"1362",20
"1363",53.17
"1364",49.05
"1365",64.06
"1366",36.49
"1367",51.48
"1368",73.4
"1369",85.66
"1370",70.96
"1371",80.86
"1372",26.66
"1373",169.96
"1374",152.38
"1375",183.83
"1376",164.89
"1377",174.26
"1378",163.83
"1379",152.03
"1380",163.47
"1381",161.39
"1382",169.53
"1383",130.86
"1384",158.38
"1385",152.41
"1386",158.27
"1387",152.18
"1388",161.28
"1389",162.34
"1390",154.89
"1391",147.37
"1392",157.59
"1393",158.87
"1394",152.06
"1395",175.63
"1396",179.15
"1397",137.17
"1398",155.02
"1399",164.74
"1400",136.39
"1401",140.03
"1402",152.08
"1403",169.13
"1404",178.47
"1405",166.68
"1406",143.62
"1407",158.48
"1408",132.44
"1409",144.49
"1410",161.91
"1411",154.37
"1412",150.77
"1413",157.06
"1414",177.48
"1415",168.62
"1416",172.93
"1417",169.6
"1418",166.89
"1419",164.85
"1420",167.72
"1421",193.7
"1422",196.42
"1423",186.32
"1424",215.11
"1425",195.37
"1426",194.15
"1427",178.8
"1428",222.53
"1429",183.39
"1430",191.06
"1431",182.36
"1432",217.74
"1433",193.29
"1434",178.19
"1435",183.9
"1436",200.83
"1437",197.64
"1438",179.93
"1439",187.22
"1440",179.96
"1441",204.44
"1442",183.86
"1443",226.43
"1444",188.72
"1445",181.51
"1446",190.65
"1447",187.68
"1448",192.69
"1449",198.09
"1450",190.03
"1451",191.71
"1452",193.29
"1453",73.66
"1454",79.88
"1455",63.05
"1456",100.3
"1457",79.55
"1458",88.99
"1459",68.79
"1460",70.88
"1461",72.7
"1462",65.99
"1463",74.89
"1464",78.96
"1465",56.86
"1466",59.86
"1467",58.71
"1468",94.33
"1469",93.34
"1470",98.68
"1471",82.13
"1472",93.51
"1473",76.49
"1474",84.08
"1475",80.32
"1476",97.04
"1477",108.21
"1478",94.18
"1479",77.01
"1480",69.38
"1481",91.84
"1482",88.38
"1483",95
"1484",95.8
"1485",89.2
"1486",96.93
"1487",64.84
"1488",68.41
"1489",130.92
"1490",135.86
"1491",140.66
"1492",121.2
"1493",132.17
"1494",132.08
"1495",128.97
"1496",136.09
"1497",126.56
"1498",120.67
"1499",128.76
"1500",133.45
"1501",125.75
"1502",123.53
"1503",130.41
"1504",129.11
"1505",142.77
"1506",137.39
"1507",121.1
"1508",124.77
"1509",124.36
"1510",133.91
"1511",122.13
"1512",139.96
"1513",120.79
"1514",129.78
"1515",122.16
"1516",130.96
"1517",139.02
"1518",119.58
"1519",142.75
"1520",133.81
"1521",118.86
"1522",124.27
"1523",128.67
"1524",130.7
"1525",116.2
"1526",117.09
"1527",122.81
"1528",130.86
"1529",128.55
"1530",89.15
"1531",134.68
"1532",115.76
"1533",129.44
"1534",127.53
"1535",113.33
"1536",87.85
"1537",119.21
"1538",101
"1539",94.89
"1540",122.63
"1541",137.61
"1542",128.31
"1543",137.29
"1544",126.7
"1545",119.06
"1546",100.54
"1547",130.52
"1548",129.43
"1549",92.65
"1550",94.16
"1551",87.37
"1552",42.88
"1553",45.62
"1554",30.36
"1555",32.4
"1556",38.16
"1557",37.63
"1558",33.51
"1559",36.37
"1560",39.89
"1561",26.61
"1562",16.52
"1563",21.36
"1564",22.66
"1565",27.48
"1566",26.37
"1567",32.44
"1568",44.4
"1569",40.82
"1570",30.34
"1571",30.32
"1572",32.34
"1573",36.43
"1574",33.8
"1575",43.35
"1576",32.45
"1577",42.77
"1578",41.8
"1579",31.16
"1580",38.98
"1581",16.56
"1582",40.35
"1583",22.62
"1584",33.39
"1585",24.49
"1586",19.88
"1587",42.67
"1588",16.37
"1589",26.82
"1590",36.88
"1591",23.84
"1592",25.65
"1593",41.43
"1594",38.69
"1595",34.54
"1596",29.74
"1597",24.1
"1598",22.79
"1599",37.51
"1600",23.21
"1601",24.45
"1602",36.12
"1603",44.46
"1604",38.77
"1605",28.75
"1606",29.24
"1607",41.84
"1608",14.71
"1609",33.71
"1610",28.8
"1611",35.6
"1612",28.28
"1613",30.89
"1614",30.95
"1615",35.12
"1616",28.9
"1617",30.1
"1618",45.09
"1619",45.05
"1620",39.47
"1621",37.98
"1622",41.11
"1623",37.96
"1624",40.86
"1625",38.31
"1626",26.38
"1627",38.33
"1628",31.11
"1629",32.88
"1630",32.11
"1631",49.68
"1632",32.74
"1633",31.45
"1634",32.44
"1635",24.31
"1636",43.49
"1637",34.88
"1638",20.07
"1639",43.4
"1640",21.1
"1641",26.91
"1642",38.34
"1643",36.03
"1644",37.38
"1645",47.04
"1646",46.58
"1647",41.68
"1648",28.64
"1649",32.96
"1650",41.73
"1651",34.96
"1652",124.61
"1653",121.16
"1654",113.97
"1655",106.93
"1656",136.64
"1657",95.37
"1658",129.99
"1659",116.2
"1660",99.66
"1661",134.52
"1662",110.19
"1663",104.23
"1664",117.69
"1665",118.48
"1666",138.52
"1667",124.7
"1668",131.74
"1669",121.69
"1670",88.26
"1671",141.06
"1672",142.51
"1673",121.52
"1674",131.23
"1675",113.93
"1676",129.12
"1677",127.42
"1678",99.12
"1679",50.18
"1680",57.45
"1681",44.08
"1682",48.02
"1683",55.6
"1684",63.94
"1685",44.01
"1686",62.09
"1687",72.02
"1688",76.14
"1689",48.11
"1690",75.65
"1691",75.51
"1692",56.86
"1693",52.37
"1694",60.69
"1695",39.75
"1696",54.82
"1697",50.97
"1698",52
"1699",58.16
"1700",51.68
"1701",48.9
"1702",60.08
"1703",83.68
"1704",64.49
"1705",54.55
"1706",40.9
"1707",61.98
"1708",59.95
"1709",55.31
"1710",57.2
"1711",54.54
"1712",53.34
"1713",55.04
"1714",68.73
"1715",82.66
"1716",61.83
"1717",50.58
"1718",55.17
"1719",49.67
"1720",44.12
"1721",93.36
"1722",40.88
"1723",40.24
"1724",41.32
"1725",44.87
"1726",32.72
"1727",43.45
"1728",33
"1729",24.11
"1730",28.18
"1731",47.45
"1732",43.1
"1733",50.37
"1734",44.62
"1735",45.09
"1736",47.93
"1737",47.99
"1738",67.65
"1739",56.77
"1740",36.83
"1741",66.3
"1742",53.93
"1743",42.33
"1744",44.61
"1745",53.87
"1746",36.96
"1747",59.15
"1748",52.22
"1749",49.81
"1750",52.22
"1751",48.2
"1752",43.78
"1753",51.3
"1754",41.93
"1755",53.24
"1756",62.34
"1757",71.91
"1758",51.74
"1759",48.43
"1760",51.77
"1761",46.07
"1762",54.66
"1763",58.34
"1764",50.05
"1765",55.61
"1766",42.89
"1767",43.41
"1768",57.93
"1769",43.64
"1770",60.27
"1771",53.7
"1772",46.39
"1773",59.38
"1774",51.99
"1775",48.01
"1776",43.44
"1777",40.23
"1778",51.64
"1779",46.73
"1780",44.3
"1781",58.81
"1782",43.9
"1783",70.21
"1784",47.83
"1785",52.01
"1786",54.54
"1787",47.5
"1788",43.58
"1789",56.33
"1790",77.19
"1791",54.01
"1792",73.75
"1793",75.63
"1794",83.5
"1795",79.33
"1796",83.13
"1797",76.53
"1798",80.39
"1799",86.95
"1800",80.84
"1801",82.39
"1802",73.22
"1803",74.5
"1804",95.27
"1805",72.45
"1806",70.31
"1807",76.32
"1808",56.51
"1809",86.08
"1810",67.33
"1811",68.02
"1812",76.43
"1813",76.72
"1814",13.23
"1815",37.58
"1816",29.77
"1817",41.78
"1818",27.26
"1819",33.17
"1820",21.5
"1821",34.05
"1822",23.55
"1823",29.08
"1824",18.97
"1825",16.38
"1826",20.91
"1827",16.61
"1828",23.49
"1829",30.98
"1830",20.1
"1831",34.12
"1832",30.52
"1833",15.97
"1834",18.31
"1835",16.39
"1836",26.86
"1837",19.25
"1838",19.22
"1839",13.76
"1840",18.36
"1841",24.98
"1842",30.62
"1843",40.12
"1844",27.6
"1845",18.14
"1846",19.04
"1847",21.78
"1848",36.44
"1849",24.13
"1850",36.61
"1851",10.82
"1852",15.9
"1853",29.09
"1854",75.66
"1855",80.42
"1856",82.65
"1857",69.67
"1858",112.93
"1859",81.66
"1860",86.63
"1861",86.89
"1862",91.55
"1863",77.41
"1864",85.46
"1865",74.22
"1866",117.16
"1867",77.81
"1868",94.57
"1869",98.55
"1870",81.97
"1871",101.42
"1872",87.16
"1873",114.72
"1874",107.78
"1875",95.8
"1876",100.64
"1877",106.72
